"location_name","year_id","sex","age_group","mean","lower","upper","measure"
"Republic of Moldova",2019,"Male","0 to 14",4.57158422299471,3.84657778667983,5.47981668624786,"Blood lead (ug/dL)"
"Republic of Moldova",2019,"Female","0 to 14",4.09935317596424,3.41191562335869,4.90471423849214,"Blood lead (ug/dL)"
"Russian Federation",2019,"Male","0 to 14",2.89130102032083,2.42422581795535,3.4278418504052,"Blood lead (ug/dL)"
"Russian Federation",2019,"Female","0 to 14",2.50322570537613,2.09918742318986,3.02976838073917,"Blood lead (ug/dL)"
"Ukraine",2019,"Male","0 to 14",1.78858199172602,1.47965036978086,2.13994304248607,"Blood lead (ug/dL)"
"Ukraine",2019,"Female","0 to 14",1.32033090694849,1.10169433574393,1.58142460056723,"Blood lead (ug/dL)"
"Brunei Darussalam",2019,"Male","0 to 14",1.58794816478403,1.33208217386314,1.88347454478207,"Blood lead (ug/dL)"
"Brunei Darussalam",2019,"Female","0 to 14",1.21146561629881,1.00953544367697,1.43090150130838,"Blood lead (ug/dL)"
"Japan",2019,"Male","0 to 14",1.26646088862769,1.22835428934085,1.30598176083386,"Blood lead (ug/dL)"
"Japan",2019,"Female","0 to 14",1.02983896436074,0.9949916415464,1.06494108094203,"Blood lead (ug/dL)"
"Republic of Korea",2019,"Male","0 to 14",1.64314802809374,1.40706891709906,1.90313417636522,"Blood lead (ug/dL)"
"Republic of Korea",2019,"Female","0 to 14",1.34394680856576,1.15785600251078,1.56577930242283,"Blood lead (ug/dL)"
"Singapore",2019,"Male","0 to 14",1.98741172577025,1.67815962916663,2.36508157028698,"Blood lead (ug/dL)"
"Singapore",2019,"Female","0 to 14",1.94498261451724,1.61470436092545,2.30668979535093,"Blood lead (ug/dL)"
"Australia",2019,"Male","0 to 14",1.51996313269361,1.28325636038479,1.79083698285699,"Blood lead (ug/dL)"
"Australia",2019,"Female","0 to 14",1.1722430085525,0.976927283120913,1.39127041531008,"Blood lead (ug/dL)"
"New Zealand",2019,"Male","0 to 14",2.18263127655009,1.81481081175829,2.6246751082944,"Blood lead (ug/dL)"
"New Zealand",2019,"Female","0 to 14",1.75918872654808,1.48489523518793,2.08001358425819,"Blood lead (ug/dL)"
"Andorra",2019,"Male","0 to 14",1.07657543726754,0.883512095629648,1.29786041971621,"Blood lead (ug/dL)"
"Andorra",2019,"Female","0 to 14",0.856650028076387,0.705738673225117,1.01840179811527,"Blood lead (ug/dL)"
"Austria",2019,"Male","0 to 14",1.20788501120574,1.00536363030232,1.4199007417579,"Blood lead (ug/dL)"
"Austria",2019,"Female","0 to 14",1.21133014272437,1.01207494636793,1.43919507474772,"Blood lead (ug/dL)"
"Belgium",2019,"Male","0 to 14",2.78706546421558,2.32440537942075,3.30569202779733,"Blood lead (ug/dL)"
"Belgium",2019,"Female","0 to 14",2.43785541815046,2.04466427968089,2.89287736979903,"Blood lead (ug/dL)"
"Cyprus",2019,"Male","0 to 14",1.43806264425976,1.19528378105861,1.70210337755525,"Blood lead (ug/dL)"
"Cyprus",2019,"Female","0 to 14",1.2302068507817,1.0249323127974,1.46399573009127,"Blood lead (ug/dL)"
"Denmark",2019,"Male","0 to 14",1.3754262815147,1.15881042491442,1.6142189708651,"Blood lead (ug/dL)"
"Denmark",2019,"Female","0 to 14",1.46714664765626,1.22619792486758,1.75661637288926,"Blood lead (ug/dL)"
"Finland",2019,"Male","0 to 14",1.0027786710782,0.841417548572189,1.18462678879987,"Blood lead (ug/dL)"
"Finland",2019,"Female","0 to 14",0.726608359623787,0.6058583510302,0.870225085731136,"Blood lead (ug/dL)"
"France",2019,"Male","0 to 14",1.51990951644837,1.30618055900786,1.77377130729076,"Blood lead (ug/dL)"
"France",2019,"Female","0 to 14",1.34857306722759,1.13701830451814,1.56504411096079,"Blood lead (ug/dL)"
"Germany",2019,"Male","0 to 14",1.58937189597316,1.33062009093793,1.89744367296458,"Blood lead (ug/dL)"
"Germany",2019,"Female","0 to 14",1.29439655862723,1.08777556100264,1.51936357091256,"Blood lead (ug/dL)"
"Greece",2019,"Male","0 to 14",1.92576791925964,1.61432421913646,2.30713092387375,"Blood lead (ug/dL)"
"Greece",2019,"Female","0 to 14",1.67740809556367,1.4062534489578,1.99821550858754,"Blood lead (ug/dL)"
"Iceland",2019,"Male","0 to 14",0.955507984985431,0.800628937384799,1.13211204567283,"Blood lead (ug/dL)"
"Iceland",2019,"Female","0 to 14",0.87894338487441,0.739578020253829,1.03732844440068,"Blood lead (ug/dL)"
"Ireland",2019,"Male","0 to 14",1.45736124709985,1.22516358599965,1.72672132032111,"Blood lead (ug/dL)"
