location_name,year_id,sex,age_group,mean,lower,upper,measure
Brunei Darussalam,2019,Female,0 to 14,763,424,1185,Number of people with BLLs >5 ug/dL
Japan,2019,Male,0 to 14,137924,114432,171999,Number of people with BLLs >5 ug/dL
Japan,2019,Female,0 to 14,104526,85613,121354,Number of people with BLLs >5 ug/dL
Republic of Korea,2019,Male,0 to 14,100322,56483,184924,Number of people with BLLs >5 ug/dL
Republic of Korea,2019,Female,0 to 14,64759,42115,103818,Number of people with BLLs >5 ug/dL
Singapore,2019,Male,0 to 14,17771,7905,35278,Number of people with BLLs >5 ug/dL
Singapore,2019,Female,0 to 14,16524,7562,32581,Number of people with BLLs >5 ug/dL
Australia,2019,Male,0 to 14,57212,32926,112506,Number of people with BLLs >5 ug/dL
Australia,2019,Female,0 to 14,35864,20256,57716,Number of people with BLLs >5 ug/dL
New Zealand,2019,Male,0 to 14,26752,11176,54237,Number of people with BLLs >5 ug/dL
New Zealand,2019,Female,0 to 14,15387,7129,30175,Number of people with BLLs >5 ug/dL
Andorra,2019,Male,0 to 14,78,45,127,Number of people with BLLs >5 ug/dL
Andorra,2019,Female,0 to 14,53,34,88,Number of people with BLLs >5 ug/dL
Austria,2019,Male,0 to 14,11124,6414,18571,Number of people with BLLs >5 ug/dL
Austria,2019,Female,0 to 14,10528,5762,17118,Number of people with BLLs >5 ug/dL
Belgium,2019,Male,0 to 14,106710,47271,212862,Number of people with BLLs >5 ug/dL
Belgium,2019,Female,0 to 14,74776,31709,152760,Number of people with BLLs >5 ug/dL
Cyprus,2019,Male,0 to 14,2433,1476,4600,Number of people with BLLs >5 ug/dL
Cyprus,2019,Female,0 to 14,1766,976,2887,Number of people with BLLs >5 ug/dL
Denmark,2019,Male,0 to 14,10029,5945,18315,Number of people with BLLs >5 ug/dL
Denmark,2019,Female,0 to 14,10585,6351,21712,Number of people with BLLs >5 ug/dL
Finland,2019,Male,0 to 14,5789,3507,8739,Number of people with BLLs >5 ug/dL
Finland,2019,Female,0 to 14,3548,2400,5834,Number of people with BLLs >5 ug/dL
France,2019,Male,0 to 14,143752,85267,272363,Number of people with BLLs >5 ug/dL
France,2019,Female,0 to 14,112628,73484,188789,Number of people with BLLs >5 ug/dL
Germany,2019,Male,0 to 14,169045,85591,333438,Number of people with BLLs >5 ug/dL
Germany,2019,Female,0 to 14,108282,61182,197244,Number of people with BLLs >5 ug/dL
Greece,2019,Male,0 to 14,31354,14270,61451,Number of people with BLLs >5 ug/dL
Greece,2019,Female,0 to 14,22619,10784,44658,Number of people with BLLs >5 ug/dL
Iceland,2019,Male,0 to 14,406,252,664,Number of people with BLLs >5 ug/dL
Iceland,2019,Female,0 to 14,345,219,558,Number of people with BLLs >5 ug/dL
Ireland,2019,Male,0 to 14,11733,6955,21862,Number of people with BLLs >5 ug/dL
Ireland,2019,Female,0 to 14,9474,5545,17082,Number of people with BLLs >5 ug/dL
Israel,2019,Male,0 to 14,49288,24147,103378,Number of people with BLLs >5 ug/dL
Israel,2019,Female,0 to 14,24539,14677,44993,Number of people with BLLs >5 ug/dL
Italy,2019,Male,0 to 14,77840,46797,138407,Number of people with BLLs >5 ug/dL
Italy,2019,Female,0 to 14,53555,31887,84449,Number of people with BLLs >5 ug/dL
Luxembourg,2019,Male,0 to 14,762,432,1175,Number of people with BLLs >5 ug/dL
Luxembourg,2019,Female,0 to 14,559,347,914,Number of people with BLLs >5 ug/dL
Malta,2019,Male,0 to 14,3443,1482,7004,Number of people with BLLs >5 ug/dL
Malta,2019,Female,0 to 14,633,371,1171,Number of people with BLLs >5 ug/dL
Netherlands,2019,Male,0 to 14,25789,15490,43557,Number of people with BLLs >5 ug/dL
Netherlands,2019,Female,0 to 14,19271,10976,30570,Number of people with BLLs >5 ug/dL
Norway,2019,Male,0 to 14,10515,6220,20341,Number of people with BLLs >5 ug/dL
Norway,2019,Female,0 to 14,7433,4155,12185,Number of people with BLLs >5 ug/dL
Portugal,2019,Male,0 to 14,47521,18913,94549,Number of people with BLLs >5 ug/dL
Portugal,2019,Female,0 to 14,27867,12568,57489,Number of people with BLLs >5 ug/dL
Spain,2019,Male,0 to 14,110006,55893,230331,Number of people with BLLs >5 ug/dL
